Solution No.,X1 (mg/L),X2 (mg/L),X3,X4 (min),X5 (mA/cm2),OF1 (%),OF2 (%),OF3 (USD/m3)
1,628.07,23.75,5.0,45.0,4.42,15.94,93.07,2.25
2,437.62,23.75,5.0,45.0,4.42,18.51,92.57,1.79
3,518.62,26.75,5.1,45.83,4.58,21.11,93.43,2.02
4,577.96,28.28,5.2,46.88,4.73,23.71,93.79,2.19
5,612.05,29.37,5.28,47.95,4.87,26.31,93.98,2.32
6,628.98,30.31,5.37,49.02,5.02,28.9,94.12,2.42
7,629.54,30.55,5.48,49.56,5.23,31.5,94.2,2.5
8,630.48,30.91,5.61,50.24,5.4,34.1,94.29,2.59
9,631.52,31.35,5.75,51.03,5.56,36.7,94.37,2.69
10,632.45,31.82,5.9,51.88,5.72,39.29,94.47,2.8
11,633.14,32.3,6.06,52.78,5.88,41.89,94.56,2.92
12,633.47,32.78,6.25,53.7,6.03,44.49,94.65,3.04
13,633.34,33.25,6.46,54.64,6.18,47.08,94.73,3.18
14,632.58,33.69,6.7,55.58,6.33,49.68,94.81,3.31
15,630.96,34.12,6.96,56.51,6.48,52.28,94.88,3.45
16,628.09,34.56,7.25,57.44,6.63,54.88,94.94,3.59
17,596.81,36.41,7.23,59.96,6.77,57.47,95.05,3.85
18,577.15,36.99,7.43,60.62,6.95,60.07,95.15,4.0
19,554.86,37.83,7.6,61.19,7.13,62.67,95.31,4.14
20,532.84,39.17,7.77,61.62,7.3,65.27,95.59,4.27
21,516.19,42.17,7.95,61.58,7.32,67.86,96.25,4.28
22,518.77,45.24,8.35,60.71,7.1,70.46,96.97,4.03
23,517.0,47.6,8.61,60.23,6.97,73.06,97.44,3.89
24,514.1,50.34,8.76,59.4,6.77,75.66,97.91,3.71
25,509.01,52.88,8.83,58.41,6.58,78.25,98.29,3.53
26,503.08,55.14,8.88,57.24,6.38,80.85,98.62,3.34
27,478.47,58.0,8.68,55.17,6.34,83.45,99.13,3.16
28,476.21,58.83,8.86,54.21,6.15,86.05,99.33,3.01
29,459.62,59.9,8.86,51.74,5.98,88.64,99.81,2.74
30,452.74,60.75,8.95,49.46,5.67,91.24,100.16,2.5
