Solution No.,X1 (mg/L),X2 (mg/L),X3,X4 (min),X5 (mA/cm2),OF1 (%),OF2 (%),OF3 (USD/m3)
1,0.85,-1.73,-2.0,2.0,-2.0,18.0,94.0,-1.95
2,1.02,-1.82,-2.0,2.0,-2.0,20.22,94.12,-2.03
3,1.18,-1.9,-2.0,2.0,-2.0,22.45,94.24,-2.09
4,1.33,-1.97,-2.0,2.0,-2.0,24.67,94.36,-2.15
5,1.41,-2.0,-2.0,2.0,-2.0,25.86,94.48,-2.19
6,1.64,-2.0,-1.73,2.0,-2.0,29.12,94.6,-2.21
7,1.8,-2.0,-1.58,2.0,-2.0,31.34,94.72,-2.25
8,2.0,-1.85,-1.11,2.0,-2.0,33.56,94.84,-2.3
9,2.0,-0.46,0.72,2.0,-2.0,35.79,94.96,-2.47
10,2.0,-0.55,0.88,2.0,-2.0,38.01,94.08,-2.53
11,2.0,-0.68,1.03,2.0,-2.0,40.23,93.03,-2.6
12,2.0,-0.8,1.19,2.0,-2.0,42.46,91.86,-2.69
13,2.0,-0.93,1.37,2.0,-2.0,44.68,90.55,-2.8
14,1.4,-2.0,2.0,2.0,-2.0,46.9,79.96,-3.12
15,1.59,-2.0,2.0,2.0,-2.0,49.13,80.19,-3.24
16,1.77,-2.0,2.0,2.0,-2.0,51.35,80.39,-3.35
17,1.94,-2.0,2.0,2.0,-2.0,53.57,80.58,-3.46
18,2.0,-2.0,2.0,2.0,-2.0,54.34,80.63,-3.5
19,2.0,-2.0,2.0,2.0,-2.0,54.34,80.63,-3.5
20,2.0,-2.0,2.0,2.0,-2.0,54.34,80.63,-3.5
21,2.0,-2.0,2.0,2.0,-2.0,54.34,80.63,-3.5
22,2.0,-2.0,2.0,2.0,-2.0,54.34,80.63,-3.5
23,2.0,-2.0,2.0,2.0,-2.0,54.34,80.63,-3.5
24,2.0,-2.0,2.0,2.0,-2.0,54.34,80.63,-3.5
25,2.0,-2.0,2.0,2.0,-2.0,54.34,80.63,-3.5
26,2.0,-2.0,2.0,2.0,-2.0,54.34,80.63,-3.5
27,2.0,-2.0,2.0,2.0,-2.0,54.34,80.63,-3.5
28,2.0,-2.0,2.0,2.0,-2.0,54.34,80.63,-3.5
29,2.0,-2.0,2.0,2.0,-2.0,54.34,80.63,-3.5
30,2.0,-2.0,2.0,2.0,-2.0,54.34,80.63,-3.5
