Solution No.,X1 (mg/L),X2 (mg/L),X3,X4 (min),X5 (mA/cm2),OF1 (%),OF2 (%),OF3 (USD/m3)
1,-0.38,-0.25,-1.48,-1.25,-1.55,-2.62,94.0,0.3
2,-0.38,-0.24,-1.47,-1.28,-1.53,-2.29,94.12,0.33
3,-0.38,-0.24,-1.44,-1.31,-1.51,-1.75,94.24,0.38
4,-0.37,-0.24,-1.42,-1.33,-1.48,-1.03,94.36,0.43
5,-0.36,-0.24,-1.39,-1.35,-1.44,-0.15,94.48,0.49
6,-0.23,-0.22,-1.31,-1.23,-1.35,5.81,94.6,0.72
7,-0.24,-0.21,-1.29,-1.26,-1.32,6.17,94.72,0.75
8,-0.24,-0.21,-1.27,-1.29,-1.3,6.73,94.84,0.79
9,-0.24,-0.2,-1.24,-1.31,-1.26,7.46,94.96,0.83
10,-0.24,-0.2,-1.22,-1.33,-1.23,8.34,95.08,0.88
11,-0.15,-0.16,-1.13,-1.22,-1.12,14.15,95.2,1.11
12,-0.16,-0.16,-1.11,-1.25,-1.09,14.52,95.32,1.13
13,-0.16,-0.15,-1.1,-1.27,-1.06,15.09,95.44,1.16
14,-0.17,-0.15,-1.07,-1.29,-1.02,15.8,95.56,1.2
15,-0.1,-0.11,-0.99,-1.2,-0.91,20.59,95.68,1.41
16,-0.11,-0.1,-0.98,-1.23,-0.88,20.98,95.8,1.42
17,-0.12,-0.1,-0.96,-1.25,-0.84,21.53,95.92,1.45
18,-0.12,-0.09,-0.94,-1.27,-0.8,22.22,96.04,1.48
19,-0.07,-0.05,-0.85,-1.18,-0.69,26.71,96.16,1.69
20,-0.08,-0.05,-0.84,-1.2,-0.65,27.08,96.28,1.7
21,-0.08,-0.04,-0.82,-1.23,-0.61,27.6,96.4,1.72
22,-0.09,-0.03,-0.8,-1.24,-0.57,28.24,96.52,1.75
23,-0.09,-0.03,-0.78,-1.25,-0.52,28.99,96.64,1.78
24,-0.04,0.01,-0.67,-1.15,-0.4,33.66,96.76,2.0
25,-0.05,0.02,-0.65,-1.17,-0.37,34.0,96.88,2.01
26,-0.05,0.03,-0.64,-1.19,-0.32,34.47,97.0,2.02
27,-0.06,0.04,-0.61,-1.2,-0.28,35.04,97.12,2.03
28,-0.06,0.05,-0.59,-1.21,-0.23,35.69,97.24,2.05
29,-0.06,0.06,-0.56,-1.22,-0.19,36.41,97.36,2.07
30,-0.06,0.07,-0.54,-1.23,-0.14,37.17,97.48,2.1
